Net generation all fuels (utility-scale) all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202107&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
13:11:59 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,New England thousand megawatthours,Middle Atlantic thousand megawatthours,East North Central thousand megawatthours,West North Central thousand megawatthours,South Atlantic thousand megawatthours,East South Central thousand megawatthours,Mountain thousand megawatthours,West South Central thousand megawatthours,Pacific Noncontiguous thousand megawatthours,Pacific Contiguous thousand megawatthours
Oct 2017,8126.27067,33401.73706,45396.9285,26628.34395,62738.16816,26937.03841,29493.68907,55120.92053,1351.02114,29475.53174
Sep 2017,8711.47403,35147.40805,45642.30063,27515.22139,66147.13682,27952.01712,31506.45986,59909.82162,1326.93319,32056.13745
Aug 2017,10006.74616,38962.23374,51339.94271,29317.05102,78137.97394,34461.33422,36870.31301,67414.68731,1387.38456,36840.91312
Jul 2017,10224.88757,41201.35712,55388.24808,32262.41369,80837.79251,36128.3669,37390.19401,71737.90518,1384.14904,37877.15934
Jun 2017,9181.82578,36256.33586,49548.1614,29114.27028,72203.49076,31482.9736,31787.32696,62862.54704,1348.73482,34736.34043
May 2017,8217.18751,31205.28243,43455.89417,27804.33416,67119.15716,28867.73063,27204.60454,55581.43865,1357.6507,32633.45786
Apr 2017,7595.79788,29456.90131,43040.97327,24746.64625,58378.85855,25742.12266,24394.49303,50241.62072,1337.00065,30426.17624
Mar 2017,8913.11179,34799.09997,47532.33961,27762.07259,61380.78634,29000.71429,26501.45819,50718.65069,1450.11816,31277.40335
Feb 2017,7924.9871,31241.75914,44491.42287,26070.79594,54965.85899,25103.86116,25709.46945,46245.86902,1260.17476,28035.47332
Jan 2017,8901.68835,35510.7421,52140.82265,30900.86705,65703.7472,29241.00913,31430.95133,55123.29299,1403.88838,33975.02468
Dec 2016,8899.50672,36669.4008,51810.61381,30478.04795,65852.82921,30402.3823,31540.86138,55987.17084,1457.77927,32243.98442
